Barcode,sku,Expected Stock,Free Stock,expectedNextDeliveryDate
,8721082009362,0,0,
,8721082009355,0,0,
,8721082009348,0,0,
,8721082009331,0,0,
,8721082009324,0,0,
,8721082009317,0,0,
,8721082009300,0,0,
,8721082009294,0,0,
,8721082009287,0,0,
,8721082009270,0,0,
8721082009218,8721082009218,402,0,2024-02-18
,8720828084991,0,0,
8720938245787,8720938245787,0,245,
8720938245794,8720938245794,0,199,
8721082009133,8721082009133,0,0,
8721082009102,8721082009102,300,0,2024-02-05
8721082009126,8721082009126,0,0,
,8721082009157,0,0,
,8721082009140,0,0,
,8721082009119,0,651,
,8720938245749,0,259,
8720938245770,8720938245770,400,76,2024-02-18
8720938245763,8720938245763,120,218,2024-02-18
,8721082009072,0,0,
8720938245992,8720938245992,500,0,2023-12-28
8721082009003,8721082009003,250,0,2024-01-15
8721082009010,8721082009010,250,0,2024-01-15
8721082009027,8721082009027,250,0,2024-01-15
8721082009096,8721082009096,360,0,2024-03-01
8721082009089,8721082009089,360,0,2024-03-01
8720938245930,8720938245930,820,0,2024-01-15
8720938245893,8720938245893,0,480,
,8720828084595,0,0,
,8721082009065,700,518,2023-11-18
,8720938245688,700,272,2023-11-18
8720938245695,8720938245695,700,589,2023-11-18
8720938245664,8720938245664,700,14,2023-11-18
8720938245671,8720938245671,700,11,2023-11-18
8720938245657,8720938245657,700,9,2023-11-18
8720938245978,8720938245978,450,0,2023-12-14
,8721082009058,1150,1,2023-12-15
,8721082009041,0,216,
,8721082009034,0,258,
,8720938245756,1500,-2,2024-01-15
,8720938245985,201,35,2023-11-18
,8720938245954,300,201,2024-02-18
8720938245947,8720938245947,500,0,2024-01-15
8720938245923,8720938245923,350,0,2023-12-23
8720938245909,8720938245909,350,0,2023-12-23
8720938245916,8720938245916,350,0,2023-12-23
8720938245602,8720938245602,200,75,2023-12-31
8720938245619,8720938245619,350,14,2023-12-31
,8720165097357,0,3,
8720938245718,8720938245718,0,668,
8720938245404,8720938245404,0,464,
,123456788,0,0,
,123456789,0,2,
,8720938245633,3200,-59,2023-10-20
,7898553188688,0,492,
8720938245589,8720938245589,550,23,2023-12-05
8720938245572,8720938245572,700,451,2023-11-18
8720938245503,8720938245503,0,265,
8720938245510,8720938245510,0,0,
,12345,0,199,
,1234,0,60,
,8720938245497,0,293,
,8720938245480,300,135,2024-03-05
8720938245442,8720938245442,150,348,2023-12-17
8720938245282,8720938245282,150,376,2023-12-17
8720938245305,8720938245305,0,242,
8720938245244,8720938245244,0,155,
8720938245312,8720938245312,150,241,2023-12-17
8720938245466,8720938245466,0,177,
8720938245473,8720938245473,325,156,2023-10-17
8720938245299,8720938245299,150,419,2023-12-17
8720938245251,8720938245251,175,48,2023-10-17
8720938245435,8720938245435,150,293,2023-12-17
8720938245459,8720938245459,175,32,2023-10-17
8720938245275,8720938245275,150,226,2023-12-17
8720938245213,8720938245213,1200,3,2024-01-02
8720938245268,8720938245268,325,155,2023-10-17
,8720938245428,360,32,2024-03-01
,8720938245411,0,236,
,6941057400273,0,0,
,8720938245121,500,55,2024-02-10
,8720938245114,500,537,2024-02-10
,8720938245107,1050,0,2024-02-10
,8720828084960,0,267,
,8720828084953,0,272,
8720938245091,8720938245091,200,36,2024-02-10
8720938245039,8720938245039,0,1240,
8720938245022,8720938245022,0,920,
,8720938245060,0,190,
,8720938245077,0,90,
,8720938245084,0,177,
8720938245381,8720938245381,0,417,
8720938245220,8720938245220,500,12,2023-11-24
8720938245237,8720938245237,500,121,2023-11-24
8720828084984,8720828084984,960,0,2024-01-13
8720938245015,8720938245015,600,0,2024-02-01
8720938245008,8720938245008,0,489,
,8720387478392,0,0,
8720828084861,8720828084861,550,408,2024-03-05
8720938245053,8720938245053,1000,72,2024-01-31
,Intex,0,0,
,5m extn,0,458,
8720938245398,8720938245398,0,127,
8720938245329,8720938245329,500,221,2023-12-25
8720938245350,8720938245350,0,260,
8720938245336,8720938245336,0,217,
8720938245367,8720938245367,0,313,
8720938245343,8720938245343,0,247,
8720828084090,8720828084090,0,334,
8720828084045,8720828084045,0,201,
6013815285245,6013815285245,0,5,
8720828084304,8720828084304,0,175,
5400943005257,5400943005257,0,5,
8720828084922,8720828084922,200,44,2024-01-23
8720828084687,8720828084687,0,262,
8720387478934,8720387478934,0,0,
4250525362169,4250525362169,0,0,
8720828084106,8720828084106,0,669,
8720387478859,8720387478859,900,2,2023-11-20
8720387478941,8720387478941,1000,1049,2023-11-30
8720828084182,8720828084182,0,172,
8720828084076,8720828084076,0,840,
8720387478989,8720387478989,400,82,2023-12-31
8719327484449,8719327484449,0,223,
8720828084038,8720828084038,0,0,
8720828084519,8720828084519,0,282,
8719992878383,8719992878383,0,-1,
6970488914639,6970488914639,0,0,
8720387478767,8720387478767,0,439,
8720387478958,8720387478958,0,267,
6941057404172,6941057404172,0,126,
8720387478750,8720387478750,0,497,
8720387478866,8720387478866,1050,150,2023-11-20
8720387478743,8720387478743,600,832,2024-02-08
8720828084724,8720828084724,0,-2,
8720828084847,8720828084847,1008,-18,2023-12-10
8720828084946,8720828084946,0,242,
8720828084878,8720828084878,0,391,
8720828084977,8720828084977,0,279,
8720938245152,8720938245152,0,222,
8720938245176,8720938245176,0,611,
8720938245183,8720938245183,0,173,
8720828084779,8720828084779,0,0,
8720828084854,8720828084854,950,-40,2023-11-04
8720828084885,8720828084885,500,285,2024-02-29
8720828084892,8720828084892,0,370,
8720828084809,8720828084809,300,364,2023-11-01
8720828084939,8720828084939,0,209,
8720938245138,8720938245138,200,202,2024-02-10
8720938245169,8720938245169,0,199,
8720828084069,8720828084069,700,451,2024-01-02
8720828084632,8720828084632,0,441,
8720828084830,8720828084830,0,351,
8720828084618,8720828084618,0,74,
8720828084755,8720828084755,0,219,
8720828084694,8720828084694,0,120,
8720828084199,8720828084199,0,321,
8720828084731,8720828084731,1700,154,2024-02-12
8720828084434,8720828084434,0,0,
8720938245046,8720938245046,0,262,
8720828084700,8720828084700,0,110,
9506424421120,9506424421120,0,10,
8720828084298,8720828084298,0,213,
8720828084113,8720828084113,3650,-165,2023-12-21
8720828084601,8720828084601,0,537,
8720828084380,8720828084380,0,161,
8720828084359,8720828084359,0,14,
8720828084564,8720828084564,0,116,
8720828084717,8720828084717,1550,-12,2023-12-04
8720828084397,8720828084397,0,176,
8720828084458,8720828084458,0,0,
8720828084403,8720828084403,0,439,
8720828084762,8720828084762,0,146,
8720828084410,8720828084410,0,435,
8720387478781,8720387478781,0,132,
8720387478316,8720387478316,0,13,
8720828084465,8720828084465,0,0,
8718475855095,8718475855095,0,0,
8720828084489,8720828084489,0,865,
8720828084670,8720828084670,0,562,
8720387478774,8720387478774,0,138,
8720828084441,8720828084441,0,0,
8720828084540,8720828084540,0,73,
8720828084427,8720828084427,0,0,
8720828084748,8720828084748,3150,-107,2023-10-20
8720828084175,8720828084175,0,2,
8720828084915,8720828084915,500,718,2023-11-24
8720387478972,8720387478972,504,34,2023-12-21
8720828084281,8720828084281,0,308,
8719984009092,8719984009092,0,0,
8720387806713,8720387806713,0,0,
8720828084014,8720828084014,500,0,2024-01-15
8720828084793,8720828084793,0,273,
8720387478811,8720387478811,0,510,
8720828084786,8720828084786,0,35,
8720828084335,8720828084335,535,0,2023-12-10
908208399891,908208399891,0,1,
8720828084496,8720828084496,0,1035,
8720828084021,8720828084021,300,229,2023-12-31
8720828084274,8720828084274,0,428,
8720828084205,8720828084205,1000,239,2024-02-15
8720828084649,8720828084649,0,2,
8720828084342,8720828084342,0,157,
8720828084328,8720828084328,600,0,2023-12-10
8720828084502,8720828084502,0,890,
8720387478873,8720387478873,0,207,
8720828084656,8720828084656,0,686,
8720828084168,8720828084168,0,628,
8720387478927,8720387478927,1000,10,2023-11-04
8720387478897,8720387478897,0,128,
8720828084823,8720828084823,0,89,
8720828084526,8720828084526,0,1497,
8720387478996,8720387478996,402,172,2023-12-31
8720828084267,8720828084267,0,288,
8720828084588,8720828084588,0,339,
8720828084816,8720828084816,400,687,2023-12-24
8720828084373,8720828084373,0,218,
8720387478903,8720387478903,0,397,
8720828084663,8720828084663,0,43,
8720387478880,8720387478880,0,451,
8720387478798,8720387478798,500,0,2024-01-31
8720828084083,8720828084083,0,366,
8720828084472,8720828084472,0,0,
8720828084052,8720828084052,0,96,
8720828084137,8720828084137,200,148,2023-10-22
8720828084533,8720828084533,0,504,
8720387478828,8720387478828,0,1212,
8720828084151,8720828084151,0,366,
8720828084625,8720828084625,0,0,
8720387478965,8720387478965,0,182,
6955880348787,6955880348787,0,0,
8720828084120,8720828084120,450,119,2024-02-12
9502282155634,9502282155634,0,0,
8720828084144,8720828084144,558,381,2024-01-02
8720828084557,8720828084557,0,241,
